Slovak,Ukrainian
to,що
sa,з
je,є
si,ти є
som,я
a,a
na,на
že,що
čo,що
nie,немає
v,v
ako,як
tak,так
ale,але
by,би
s,з
mi,мене
o,о
tu,тут
do,до
ja,мене
sme,ми є
ste,ти є
áno,так
z,від
len,тільки
ma,у мене є
už,вже
aby,до
dobre,добре
ho,його
keď,коли
ak,якщо
ty,ти
ti,ти
za,для
ťa,ти
bol,був
pre,для
sú,вони є
tam,НАТИСНІТЬ
prečo,чому
niečo,щось
toto,це
no,добре
teraz,тепер
aj,також
hej,привіт
mám,я маю
byť,бути
ich,їх
bude,буде
ju,її
takže,так
ten,один
všetko,все
tom,том
nič,нічого
vás,ти
kde,де
kto,ВООЗ
k,k
po,Пн
bolo,це було
bola,вона була
ešte,ще
vám,ти
toho,що
alebo,або
jej,її
má,має
môj,моя
jeho,його
myslím,я думаю
máš,у вас є
viem,я знаю
vieš,ви знаєте
mňa,мене
poriadku,порядок
tým,команда
veľmi,дуже багато
mal,мав
prosím,будь ласка
potom,після цього
nikdy,ніколи
možno,можливо
od,від
nás,нас
ani,ні
so,сб
povedal,сказав він
chcem,я хочу
neviem,я не знаю
mu,його
ďakujem,дякую
ísť,йти
vy,ти
naozaj,дійсно
stále,завжди
teba,ти
pretože,тому що
viac,більше
chceš,ти хочеш
oh,ох
povedať,сказати
nám,нас
ahoj,привіт
on,він
pred,раніше
máme,у нас є
boli,вони були
moja,моя
musím,я повинен
tie,ті
vo,в
sem,ТЯГНУТЬ
môžem,я можу
dnes,сьогодні
budem,я буду
ktorý,який
niekto,хтось
práve,прямо зараз
pane,сер
mali,вони мали
pán,пан
poďme,ходімо
všetci,кожен
pozri,подивіться
myslíš,ти маєш на увазі
či,чи
mať,мати
nemôžem,я не можу
čas,час
asi,ймовірно
ktoré,який
keby,якщо
veľa,багато
vždy,завжди
tiež,теж
moje,моя
poď,давай
mala,вона мала
stalo,сталося
trochu,трохи
my,ми
ľudia,людей
tomu,до того
pri,в
deň,день
máte,у вас є
tú,той
musíme,ми повинні
iba,тільки
tvoj,твоя
rád,щасливий
bože,Бог
otec,батько
tento,цей
tá,один
jeden,один
bez,без
chcel,він хотів
mohol,міг би
jasné,ясно
veci,речі
zo,від
robiť,робити
ide,це йде
dobrý,добре
budeš,ви будете
ok,добре
mnou,мною
môže,може
viete,ви знаєте
kým,поки
mne,мене
až,поки
presne,точно
môžeš,ви можете
život,життя
ľudí,людей
dosť,досить
vážne,серйозно
preto,тому
dobré,добре
späť,назад
všetky,всі вони
tebou,тобою
urobiť,робити
deje,відбувається
robíš,ви робите
vedieť,знати
prepáč,мені шкода
vďaka,дякую
však,проте
musíš,ви повинні
povedala,сказала вона
ona,вона
budeme,ми будемо
nikto,ніхто
kvôli,через
lebo,тому що
domov,додому
teda,так
pravdu,правда
vec,річ
nech,нехай
hneď,тепер
im,ім
každý,кожен
svoje,власні
myslel,думав
než,ніж
kedy,коли
pár,пара
tvoja,твоя
prepáčte,мені шкода
nechcem,Я не хочу
rokov,років
choď,йти
povedz,сказати
potrebujem,мені потрібно
daj,давай
miesto,місце
nemám,я не маю
svoju,свій власний
videl,він бачив
samozrejme,звичайно
raz,один раз
chce,хоче
takto,як це
také,теж
mohli,вони могли
preč,геть
noc,ніч
ním,ним
nejaké,деякі
idem,я йду
spolu,разом
vlastne,насправді
problém,проблема
musí,повинен
žiadne,немає
počkaj,чекати
chcete,ти хочеш
vôbec,взагалі
lepšie,краще
vidieť,побачити
môžeme,ми можемо
urobil,він зробив
tvoje,твоя
tebe,ти
dostať,отримати
prišiel,він прийшов
peniaze,гроші
hovoriť,говорити
kurva,повія
vyzerá,виглядає як
ktorá,який
mama,мама
dlho,довгий час
kam,де
niekedy,іноді
von,поза
príliš,занадто багато
nich,їх
sám,поодинці
celý,ціле
úplne,повністю
tej,той
rada,ради
určite,напевно
nuž,добре
môžete,ви можете
pod,під
ráno,вранці
fajn,добре
váš,твоя
seba,себе
pomôcť,допомогти
večer,ввечері
aký,що
nebude,це не буде
dieťa,дитина
cez,через
deti,дітей
niekoho,хтось
u,u
všetkých,кожен
aké,який вид
majú,вони мають
mojej,моя
tých,ті
rýchlo,швидко
pravda,правда
taký,як то
istý,певний
znamená,засоби
môjho,моя
tieto,ці
koľko,скільки
predtým,раніше
medzi,між
dať,дати
tejto,цей
čom,що
chcela,вона хотіла
neho,його
muž,людина
meno,назва
ideme,ми йдемо
dievča,дівчина
budú,вони будуть
dva,два
tri,три
nebol,він не був
nejaký,деякі
svoj,власні
podľa,відповідно до
mohla,вона могла
žena,жінка
nájsť,знайти
pani,місіс
vaše,твоя
budete,ви будете
ľúto,вибачте
pozrite,подивіться
veď,адже
zajtra,завтра
moju,моя
hovorí,каже він
ktorú,який
správne,правильно
túto,цей
hore,вгору
dostal,отримав
super,чудово
ďalej,наступний
naše,наш
vedel,він знав
tomto,цей
náš,наш
chvíľu,деякий час
dal,він дав
vidím,Я бачу
prácu,працювати
prestaň,припини це
proste,просто
vie,знає
okej,гаразд
jedno,не має значення
mami,мама
pohode,круто
dole,вниз
myslíte,ти маєш на увазі
aspoň,принаймні
vaša,твоя
nej,її
táto,цей
jedna,один
i,i
pomoc,допомогти
oni,вони
robí,робить
